epoch,train_loss,val_loss,val_accuracy
1,1.4119472636116877,1.4571994543075562,0.5416666666666666
2,1.2774716350767348,1.3735531568527222,0.5166666666666667
3,1.2475685940848456,1.2588527202606201,0.5416666666666666
4,1.2183425294028387,1.2700780630111694,0.55
5,1.2061360677083333,1.1794049739837646,0.5666666666666667
6,1.160859637790256,1.1308748722076416,0.5916666666666667
7,1.134548054801093,1.0806859731674194,0.5583333333333333
8,1.1355670028262668,1.1148312091827393,0.5666666666666667
9,1.0988788207372029,1.1148617267608643,0.5666666666666667
10,1.0781743394003973,1.0531740188598633,0.525
11,1.073598947789934,1.0409553050994873,0.5583333333333333
12,1.0637214514944289,1.1544841527938843,0.5666666666666667
