conditioning_scale,class_adherence,target_centroid_rmse,within_class_pixel_std
0.0,0.11166666448116302,0.266305148601532,0.17720361053943634
0.25,0.3858333230018616,0.2244541496038437,0.1625009924173355
0.5,0.7433333396911621,0.19109545648097992,0.14523997902870178
0.75,0.9166666865348816,0.16724294424057007,0.13170915842056274
1.0,0.9816666841506958,0.1513134241104126,0.1169373020529747
1.25,0.9975000023841858,0.14507800340652466,0.10512752830982208
1.5,1.0,0.14389891922473907,0.09315340220928192
1.75,1.0,0.14805488288402557,0.08560838550329208
2.0,1.0,0.15071195363998413,0.075956791639328
