epoch,cvae_loss
1,40.17771937052409
2,29.570620854695637
3,26.67063331604004
4,25.355272674560545
5,24.407564798990887
6,23.732908121744792
7,22.899802907307944
8,22.46076889038086
9,22.118007787068684
10,21.69608383178711
11,21.30646006266276
12,21.125796381632487
13,20.931507746378582
14,20.740049107869467
15,20.586480204264323
16,20.262465794881184
17,20.42553621927897
18,20.180867258707682
19,20.252465184529623
20,19.962092717488606
21,20.048076502482097
22,19.7980162302653
23,19.778077697753908
24,19.815298334757486
25,19.45006052652995
26,19.444119262695313
27,19.35242296854655
28,19.267448933919272
29,19.122809346516927
30,19.11784133911133
31,18.99314676920573
32,18.93168093363444
33,18.993707275390626
34,18.861674372355143
35,18.78295923868815
36,18.867038345336915
37,18.715800603230793
38,18.632594553629556
39,18.526005427042644
40,18.55312245686849
41,18.518595123291014
42,18.483715693155926
43,18.588643391927082
44,18.48721720377604
45,18.532306162516274
46,18.375456873575846
47,18.42129440307617
48,18.324259948730468
49,18.39329210917155
50,18.317834345499673
51,18.162918027242025
52,18.152813084920247
53,18.2702943166097
54,18.096141560872397
55,18.204699325561524
56,18.08351936340332
57,18.127441787719725
58,18.063299942016602
59,18.237304306030275
60,18.165515772501628
61,17.998630015055337
62,17.985711034138998
63,18.010997772216797
64,18.072414906819663
65,18.072537231445313
