loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6978,0.9482948780059814,2.857142857142857e-05,0.15873015873015872,10,,,,,,,,,
0.6908,0.9114805459976196,2.6984126984126984e-05,0.31746031746031744,20,,,,,,,,,
0.6969,0.8015029430389404,2.5396825396825397e-05,0.47619047619047616,30,,,,,,,,,
0.684,1.0808537006378174,2.380952380952381e-05,0.6349206349206349,40,,,,,,,,,
0.6825,0.9262786507606506,2.222222222222222e-05,0.7936507936507936,50,,,,,,,,,
0.6832,1.8333361148834229,2.0634920634920633e-05,0.9523809523809523,60,,,,,,,,,
,,,1.0,63,0.6816873550415039,1.049,476.652,7.626,,,,,
0.6718,1.3997936248779297,1.9047619047619046e-05,1.1111111111111112,70,,,,,,,,,
0.6807,1.6554960012435913,1.746031746031746e-05,1.2698412698412698,80,,,,,,,,,
0.677,0.7993202209472656,1.5873015873015872e-05,1.4285714285714286,90,,,,,,,,,
0.6742,1.9709392786026,1.4285714285714285e-05,1.5873015873015874,100,,,,,,,,,
0.6657,1.3749803304672241,1.2698412698412699e-05,1.746031746031746,110,,,,,,,,,
0.6636,1.3150984048843384,1.111111111111111e-05,1.9047619047619047,120,,,,,,,,,
,,,2.0,126,0.6740546822547913,1.0468,477.665,7.643,,,,,
0.6748,1.7127685546875,9.523809523809523e-06,2.0634920634920633,130,,,,,,,,,
0.6669,1.0702149868011475,7.936507936507936e-06,2.2222222222222223,140,,,,,,,,,
0.663,1.3606728315353394,6.349206349206349e-06,2.380952380952381,150,,,,,,,,,
0.659,1.7128368616104126,4.7619047619047615e-06,2.5396825396825395,160,,,,,,,,,
0.6607,1.7127002477645874,3.1746031746031746e-06,2.6984126984126986,170,,,,,,,,,
0.6698,1.7270312309265137,1.5873015873015873e-06,2.857142857142857,180,,,,,,,,,
,,,3.0,189,0.6699960231781006,1.0542,474.274,7.588,,,,,
,,,3.0,189,,,,,54.9136,109.262,3.442,2858595840000.0,0.6748058051659317
