k,mean_recall,sem_recall,marginal_recall_gain,mean_irrelevant_fraction,mean_retrieved_whitespace_tokens
1,0.39944444444444444,0.028008867812950602,0.39944444444444444,0.5866666666666667,223.51666666666668
2,0.5023333333333334,0.028512294674457917,0.10288888888888897,0.7316666666666667,439.4266666666667
3,0.5606666666666666,0.02820275723962561,0.05833333333333324,0.7977777777777764,653.82
5,0.6124444444444443,0.02769482672019083,0.0517777777777777,0.8653333333333361,1090.3733333333332
10,0.6930000000000001,0.026240856677093742,0.08055555555555571,0.9230000000000013,2185.1566666666668
20,0.7799999999999999,0.023542356229809176,0.08699999999999986,0.9561666666666632,4356.413333333333
50,0.8462222222222222,0.02042383398767684,0.0662222222222223,0.9808666666666653,10873.913333333334
100,0.8735555555555555,0.018892010147170683,0.02733333333333332,0.9901000000000033,21734.166666666668
