epoch,autoencoder_mse
1,0.14612410912911097
2,0.08113498638073603
3,0.07443842738866806
4,0.07030966877937317
5,0.061394668122132616
6,0.05257597342133522
7,0.044821476191282274
8,0.04200049539407094
9,0.03850061098734538
10,0.03604034433762233
11,0.03369469990332921
12,0.03130348933239778
13,0.029672021294633547
14,0.026939236000180243
15,0.025160816311836243
16,0.023327800383170446
17,0.021758615970611572
18,0.02057258387406667
19,0.02006817894677321
20,0.019353636478384336
21,0.018642834201455117
22,0.018033950527509054
23,0.01715452459951242
24,0.016294970425466695
25,0.015753674072523913
26,0.015131769826014836
27,0.01475775254269441
28,0.014354358737667402
29,0.013870143517851829
30,0.013791069202125073
31,0.013454242857793968
32,0.012734779591361682
33,0.012396058502296607
34,0.01214819507052501
35,0.011918415874242782
36,0.01190404873341322
37,0.011242416314780712
38,0.011096434171001117
39,0.010915587966640791
40,0.010878731310367585
41,0.010723305928210417
42,0.010706313140690326
43,0.010659725032746791
44,0.010059233040859301
45,0.01004477267464002
46,0.009857281049092611
47,0.00976825753847758
48,0.0101525716483593
49,0.0099806759506464
50,0.009637332024673621
51,0.009634471125900745
52,0.009356820769608021
53,0.009443443454802036
54,0.009049499159057934
55,0.009015848984320958
56,0.00880652672300736
57,0.008704210569461187
58,0.008569827737907569
59,0.008493869565427303
60,0.008204112543414037
61,0.008014299534261226
62,0.008113770373165607
63,0.008091330093642076
64,0.00801348661382993
65,0.007916722446680069
66,0.0078261892311275
67,0.007587264043589433
68,0.007618046334634225
69,0.007559615404655536
70,0.007381681508074204
