vae_loss,gan_generator_loss,ddpm_noise_mse
40.15036493937175,0.7183743556340535,0.9641913572947184
31.15530344645182,0.7768261273701985,0.8853009144465128
29.012623341878257,0.8380210916201274,0.7794230143229167
28.506205749511718,0.9177420298258464,0.5986265977223714
28.08194859822591,0.9775551597277323,0.4882524867852529
27.78257522583008,0.9883524894714355,0.4134711583455404
26.704085922241212,0.9710288961728414,0.36832305788993835
25.449979782104492,0.9719931483268738,0.32143715222676594
24.362903722127278,0.965070899327596,0.3065249800682068
23.995480092366538,0.9660333116849263,0.2704562356074651
23.875219853719077,0.9290136615435283,0.27184525430202483
23.61233787536621,0.9155548731486003,0.26174627045790355
23.01202252705892,0.9688575267791748,0.24743571082750956
22.757821146647135,0.9871344486872355,0.2618296722571055
22.876947911580405,0.9715596199035644,0.26718048453330995
22.45619888305664,0.904687249660492,0.22792441844940187
21.971007919311525,0.8934828599294027,0.24601465861002605
21.99087231953939,0.9049886465072632,0.23759740789731343
21.671542612711587,0.8733639319737753,0.22838046650091806
21.507012812296548,0.9548529108365377,0.23506427208582562
21.355851872762045,0.9304071346918742,0.25155518054962156
21.245246505737306,0.9371929248174031,0.2333767662445704
21.210730997721353,0.9110453764597575,0.24761982758839926
21.031644821166992,0.9694632848103841,0.2262353390455246
20.840357081095377,1.0748687585194905,0.24963942964871724
20.78388900756836,1.0175606886545816,0.2402789533138275
20.614712142944335,0.9461838165918987,0.2283688674370448
20.69277903238932,0.9812278429667155,0.2302449454863866
20.48459676106771,1.072948900858561,0.2545259783665339
20.483961232503255,1.1828047593434652,0.23747738897800447
20.416728719075522,1.3126738866170247,0.22074819306532542
20.111200459798177,1.2325236241022746,0.23099781175454456
20.271994908650715,1.3272868712743124,0.2535346249739329
20.213374455769856,1.4717620929082236,0.23992901047070822
20.229636510213215,1.4096853256225585,0.23490468859672547
20.083387756347655,1.3560696760813395,0.23538887401421865
20.04017054239909,1.3942800601323446,0.2390277862548828
19.941088231404624,1.5363625526428222,0.2431314597527186
20.082111867268882,1.5499054670333863,0.24334281881650288
20.131357828776043,1.487103319168091,0.23665326237678527
20.05985870361328,1.6018652280171712,0.24703204135100046
19.90355987548828,1.7481416622797648,0.23566580514113109
19.91641680399577,1.769106348355611,0.24485951364040376
19.7655387878418,1.8095213095347087,0.2310315837462743
19.86723035176595,1.4633528232574462,0.2372063269217809
,1.5254768927892048,0.22005600382884344
,1.763135266304016,0.23328400552272796
,1.5849099079767863,0.234207354982694
,1.401636258761088,0.22003179490566255
,1.5390841881434123,0.21337650467952093
,2.003352475166321,0.2234743555386861
,2.2050909121831257,0.22226778715848922
,2.3023455301920572,0.2275855670372645
,2.267904758453369,0.23526052137215933
,2.1021156549453734,0.23162511885166168
,1.9153129736582437,0.23253456950187684
,1.9253110965092977,0.22984857459863026
,1.8424597183863323,0.22193328142166138
,1.8430269479751586,0.23936456541220347
,1.9057807127634685,0.2367975076039632
,1.8644776741663616,0.21213481277227403
,1.732967162132263,0.22773520151774088
,1.789483912785848,0.21584022293488184
,1.8870450576146445,0.2153347874681155
,1.8068790197372437,0.22165510853131612
,1.7802592436472575,0.22449726164340972
,1.7711968898773194,0.24238175948460897
,1.862490447362264,0.22387310614188513
,2.075586207707723,0.24006870090961457
,2.0800251960754395,0.23599067330360413
,1.6000715573628743,
,1.367201312383016,
,1.67043080329895,
,1.7864781856536864,
,1.679116169611613,
,1.5872915665308633,
,1.3902251879374186,
,1.3186959266662597,
,1.5363279342651368,
,1.5499113241831461,
