,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1.0,0.9738086462020874,0.9547362923622131,0.931145191192627,0.9111270308494568,0.8939270973205566,0.8860731720924377,0.8630997538566589,0.828851044178009,0.808447003364563,0.7947120070457458,0.7838191390037537,0.7798136472702026
1,0.9738086462020874,1.0,0.9928502440452576,0.9808602929115295,0.9677091240882874,0.9574756622314453,0.9488298296928406,0.9356095790863037,0.9178200364112854,0.9056392312049866,0.898506760597229,0.8900509476661682,0.8878943920135498
2,0.9547368884086609,0.9928502440452576,1.0,0.9941356778144836,0.985925555229187,0.9782474040985107,0.9699699282646179,0.9605821967124939,0.9456693530082703,0.9338849186897278,0.9269665479660034,0.9186767935752869,0.913957953453064
3,0.9311455488204956,0.9808616042137146,0.994134783744812,1.0,0.9963734745979309,0.9917160868644714,0.9856868386268616,0.9793820381164551,0.9675821661949158,0.9562345743179321,0.9481374025344849,0.9394412040710449,0.9346503615379333
4,0.9111272096633911,0.9677091240882874,0.9859247207641602,0.9963732361793518,1.0,0.9980973601341248,0.9945480823516846,0.9896363615989685,0.9786571264266968,0.9672994017601013,0.9575637578964233,0.9485636949539185,0.9436241388320923
5,0.893926739692688,0.9574759006500244,0.9782477617263794,0.9917160868644714,0.9980973601341248,1.0,0.9975890517234802,0.9942072629928589,0.9854764938354492,0.9753105640411377,0.9655243158340454,0.9569177031517029,0.9527144432067871
6,0.8860731720924377,0.9488292932510376,0.9699699282646179,0.9856866002082825,0.9945480823516846,0.9975892305374146,1.0,0.9971239566802979,0.9872649908065796,0.976502537727356,0.9635202288627625,0.9540286064147949,0.9508523344993591
7,0.8630995154380798,0.9356091618537903,0.9605820178985596,0.979381799697876,0.9896365404129028,0.9942070841789246,0.9971241354942322,1.0,0.9936237335205078,0.9848945140838623,0.9726372957229614,0.9640669822692871,0.9607086181640625
8,0.8288509249687195,0.9178204536437988,0.9456689357757568,0.9675824046134949,0.9786568880081177,0.9854764938354492,0.9872649908065796,0.9936234951019287,1.0,0.9961385130882263,0.9873635768890381,0.9797373414039612,0.9774491190910339
9,0.8084467053413391,0.9056395292282104,0.9338849186897278,0.9562339782714844,0.9672995209693909,0.9753105640411377,0.9765027165412903,0.9848954081535339,0.9961381554603577,1.0,0.9951421022415161,0.9898265600204468,0.9883482456207275
10,0.7947117686271667,0.898506760597229,0.9269679188728333,0.9481369853019714,0.9575635194778442,0.9655244946479797,0.963520348072052,0.972637414932251,0.987363874912262,0.9951423406600952,1.0,0.9964058995246887,0.993204653263092
11,0.7838190793991089,0.8900511860847473,0.9186779856681824,0.9394410848617554,0.9485641121864319,0.9569174647331238,0.9540280699729919,0.964066743850708,0.9797378778457642,0.9898272156715393,0.9964060187339783,1.0,0.9949532747268677
12,0.7798137664794922,0.8878946304321289,0.9139577150344849,0.9346503615379333,0.9436248540878296,0.9527144432067871,0.9508522152900696,0.9607084393501282,0.9774491190910339,0.988348662853241,0.9932044744491577,0.9949536919593811,1.0
