layer,bank_sense_separation_ratio
0,1.3536682771344886
1,4.998088367406367
2,7.435596884656102
3,7.006292074998391
4,6.787635395160092
5,6.59164987573982
6,6.275250328996135
7,7.107474094674971
8,6.676426059680959
9,6.289462955592426
10,6.324578715435145
11,5.915161647435541
12,5.6233155387119735
