layer,same_word_cross_context_cosine
0,0.9960189290519988
1,0.9174127874530268
2,0.8975077260095975
3,0.8835828540877076
4,0.8642512417629654
5,0.8496052205093725
6,0.8377164966401321
7,0.82704111798167
8,0.8322409717882575
9,0.8052988540171874
10,0.8033953246325174
11,0.8187372270539567
12,0.7825476541707482
