,animals,vehicles,finance,geography,bank/finance,bank/river
animals,1.1102230246251565e-16,0.191539462698484,0.35122781051048146,0.2558000346020809,0.38747984686827286,0.3695236648078092
vehicles,0.191539462698484,-2.220446049250313e-16,0.3035307703591169,0.2435617324410494,0.3242235592214291,0.34695468794685247
finance,0.35122781051048146,0.3035307703591169,-2.220446049250313e-16,0.36777510845453076,0.20277012879325318,0.33553212351696005
geography,0.2558000346020809,0.2435617324410494,0.36777510845453076,-2.220446049250313e-16,0.34556299556733094,0.22459019789232848
bank/finance,0.38747984686827286,0.3242235592214291,0.20277012879325318,0.34556299556733094,0.0,0.11497061042614631
bank/river,0.3695236648078092,0.34695468794685247,0.33553212351696005,0.22459019789232848,0.11497061042614631,0.0
